ProDataCSV

Title: Sat Jun 22 19:31:15 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:01 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
50.16,-0.00040803,-0.000877166,-0.000916224
50.28,-0.000399909,-0.00084203,-0.000997638
50.4,-0.00043027,-0.00069531,-0.0010952
50.52,-0.000374512,-0.000657627,-0.00110511
50.64,-0.000295465,-0.000719551,-0.00113506
50.76,-0.000299035,-0.000665432,-0.00114663
50.88,-0.000279892,-0.000656903,-0.0010906
51,-0.000236068,-0.000658816,-0.00105998
51.12,-0.000192756,-0.000613788,-0.00101928
51.24,-0.000216249,-0.000584836,-0.000985654
51.36,-0.000301363,-0.000535251,-0.00100384
51.48,-0.000314763,-0.000487211,-0.000975839
51.6,-0.000257282,-0.000582509,-0.000971965
51.72,-0.000164293,-0.000638138,-0.000936114
51.84,-0.000135,-0.000671274,-0.000900519
51.96,-0.000176092,-0.000743326,-0.000877889
52.08,-0.000291378,-0.0007825,-0.000849988
52.2,-0.00032185,-0.000704097,-0.000777436
52.32,-0.000257748,-0.000685282,-0.000765033
52.44,-0.000201398,-0.000700944,-0.000741776
52.56,-0.000228668,-0.000729682,-0.000749321
52.68,-0.00029531,-0.000697274,-0.000757022
52.8,-0.000327645,-0.000667862,-0.000794852
52.92,-0.000322575,-0.000616373,-0.000838878
53.04,-0.000334887,-0.000536233,-0.000883366
53.16,-0.00034813,-0.000528115,-0.000852261
53.28,-0.000256351,-0.000563276,-0.000791699
53.4,-0.000211333,-0.000624697,-0.000747719
53.52,-0.000271304,-0.00066321,-0.000746686
53.64,-0.000321074,-0.000547661,-0.000742706
53.76,-0.000328265,-0.000426857,-0.000805755
53.88,-0.000272132,-0.000346889,-0.000882539
54,-0.000224684,-0.000390082,-0.000923974
54.12,-0.000156944,-0.000466835,-0.000920357
54.24,-8.57259e-005,-0.000519738,-0.000885587
54.36,-0.000146283,-0.000465025,-0.000902534
54.48,-0.000172211,-0.000459905,-0.000881144
54.6,-0.000241811,-0.000522013,-0.000860373
54.72,-0.000327955,-0.000562345,-0.000849678
54.84,-0.000342129,-0.0005428,-0.000858565
54.96,-0.000306278,-0.000461457,-0.000931775
55.08,-0.000286515,-0.000378029,-0.00102047
55.2,-0.000235654,-0.000365977,-0.000986274
55.32,-0.000218164,-0.000461302,-0.000943812
55.44,-0.000176144,-0.00060076,-0.000884347
55.56,-0.000112745,-0.000671118,-0.000811956
55.68,-7.73404e-005,-0.000698308,-0.000762087
55.8,-1.39782e-005,-0.000668637,-0.000640929
55.92,-4.30721e-005,-0.000579821,-0.000526047
56.04,-0.000135828,-0.000448114,-0.000466008
56.16,-0.000220648,-0.000367839,-0.000485505
56.28,-0.000320816,-0.000338405,-0.000546988
56.4,-0.000390754,-0.000388219,-0.000629194
56.52,-0.000462957,-0.000455044,-0.000706371
56.64,-0.000492848,-0.000490211,-0.000739398
56.76,-0.000493262,-0.000543627,-0.000705079
56.88,-0.000395927,-0.000510327,-0.000672152
57,-0.000149181,-0.000459647,-0.000623146
57.12,-3.92414e-005,-0.000506448,-0.000568808
57.24,2.05281e-005,-0.000459078,-0.000504225
